specification,value
model_name,F2S_WARM_START_200_4_Nature_Corrected
loss_alpha,0.03
loss_delta,0.0001
num_params,10816531
time_per_epoch,1.2657880637168883
rmse_final,1.6102373600006104
auroc_final_R,0.8892170712588499
auprc_final_R,0.19743632360279054
PCA_dim,256
retained_var,0.9776838
global_bias,0.1401802
thresholds,"[0.3712884112466054, 1.3926038460358727, 2.3773693966144864, 3.372555059850907, 4.370347533623787]"
confusion_matrix,"[[0.67307054 0.18990364 0.06404275 0.03777258 0.02661575 0.00859474]
 [0.25       0.42857143 0.23214286 0.07142857 0.00892857 0.00892857]
 [0.12303665 0.33246073 0.37172775 0.14397906 0.02617801 0.0026178 ]
 [0.07057654 0.16202783 0.30119284 0.33300199 0.12425447 0.00894632]
 [0.05957684 0.11302895 0.14476615 0.25556793 0.33797327 0.08908686]
 [0.04411765 0.07352941 0.06127451 0.14460784 0.32107843 0.35539216]]"
