specification,value
model_name,F2S_WARM_START_200_0_Nature
loss_alpha,0.03
loss_delta,0.0001
num_params,3739931
time_per_epoch,0.8371581543922424
rmse_final,1.3538784980773926
auroc_final_R,0.9023243069871646
auprc_final_R,0.19014035391603623
mol_corr,0.46114873783095456
se_corr,0.7741156858952336
PCA_dim,256
retained_var,0.9776838
global_bias,0.1401802
thresholds,"[0.4077662692922618, 1.5143653365089498, 2.560878932743882, 3.433166039982575, 4.235760836519376]"
confusion_matrix,"[[0.58652109 0.24013434 0.09042092 0.04521991 0.02656715 0.01113658]
 [0.14285714 0.5        0.23214286 0.10714286 0.00892857 0.00892857]
 [0.05235602 0.26439791 0.44502618 0.19895288 0.03664921 0.0026178 ]
 [0.03479125 0.13121272 0.28926441 0.37276342 0.15506958 0.01689861]
 [0.03563474 0.08129176 0.14922049 0.25668151 0.34187082 0.13530067]
 [0.0122549  0.05637255 0.06862745 0.10539216 0.29166667 0.46568627]]"
