idx,bias
0,0.3702101
1,0.31837302
2,0.006003231
3,0.17011765
4,0.24835263
5,0.16354857
6,0.27748227
7,0.13237734
8,0.275998
9,0.46789333
10,0.16108596
11,0.2274501
12,0.32839262
13,0.25331432
14,0.3516244
15,0.27326018
16,0.20987773
17,0.21283507
18,0.2358301
19,0.5238883
20,0.23733616
21,0.5485315
22,1.3211899
23,0.16233975
24,0.88725406
25,0.3158105
26,0.09611902
27,0.1802831
28,0.0
29,0.27872527
30,0.006584704
31,0.34558132
32,0.3451452
33,0.0
34,0.287453
35,0.19214906
36,0.2109424
37,0.24816367
38,0.24033418
39,0.20692626
40,0.19810568
41,0.1560198
42,0.60882056
43,0.3307027
44,0.27404535
45,0.19829099
46,0.18906315
47,0.18208711
48,0.44417262
49,0.059276313
50,0.5432441
51,0.36550015
52,0.19974567
53,0.18716985
54,0.35230953
55,0.33653125
56,0.28753346
57,0.27585563
58,0.36250955
59,0.13280472
60,0.8493617
61,0.43112502
62,0.26641253
63,0.15207317
64,0.40956265
65,0.24552684
66,0.19019392
67,0.3172509
68,0.2756039
69,0.38650942
70,0.86840445
71,0.037721038
72,0.3807389
73,0.29077226
74,0.33240932
75,0.24118403
76,0.2902964
77,0.1031878
78,0.5027291
79,0.21546783
80,0.82135254
81,0.068373054
82,0.39261234
83,0.13965765
84,0.40285805
85,1.2695518
86,0.3790333
87,0.33267787
88,0.22600672
89,0.34252524
90,0.13288794
91,0.24681765
92,0.6038119
93,0.18409534
94,0.09163344
95,0.7164117
96,0.14951302
97,0.1273505
98,0.3322095
99,0.25096977
100,0.27882123
101,0.1691814
102,0.22169447
103,0.25139773
104,0.13840291
105,0.34538025
106,0.12018184
107,0.21219699
108,0.3337823
109,0.18413986
110,0.48908904
111,0.23135793
112,0.0
113,0.24331097
114,0.30477494
115,0.22441022
116,0.5823645
117,0.36318207
118,0.3518731
119,0.4026346
120,0.30284297
121,0.25200918
122,0.28879833
123,0.22872445
124,0.40995216
125,0.4599548
126,0.25322002
127,0.1687574
128,0.33326063
129,0.37660655
130,0.24812105
131,0.39163923
132,0.07294011
133,0.13367468
134,0.0
