idx,bias
0,-1.849982738494873
1,-1.704507827758789
2,-2.0337064266204834
3,-2.5078284740448
4,-2.491131544113159
5,-3.291977882385254
6,-2.9829695224761963
7,-3.1690139770507812
8,-2.5438313484191895
9,-2.8597919940948486
10,-1.8208261728286743
11,-2.554809093475342
12,-3.1786305904388428
13,-2.612767457962036
14,-3.697788715362549
15,-2.998365640640259
16,-2.4164183139801025
17,-2.760268449783325
18,-1.6279457807540894
19,-2.4513635635375977
20,-2.822856903076172
21,-1.6233854293823242
22,-2.157210350036621
23,-2.913451671600342
24,-1.5090974569320679
25,-3.1880626678466797
26,-2.3380649089813232
27,-2.348756790161133
28,-3.4206531047821045
29,-3.3515634536743164
30,-2.3005685806274414
31,-3.073063611984253
32,-2.2392566204071045
33,-1.9865367412567139
34,-2.144713878631592
35,-2.6000685691833496
36,-1.7436784505844116
37,-2.3414814472198486
38,-2.9479899406433105
39,-2.9569125175476074
40,-1.582705020904541
41,-2.378661870956421
42,-2.4908957481384277
43,-3.5821826457977295
44,-3.1099419593811035
45,-2.1510889530181885
46,-2.584709644317627
47,-2.983590841293335
48,-1.9308481216430664
49,-2.8134613037109375
50,-1.7381433248519897
51,-2.5866076946258545
52,-1.9780715703964233
53,-1.4277992248535156
54,-2.361549139022827
55,-2.0427935123443604
56,-2.4850869178771973
57,-2.577530860900879
58,-2.8371405601501465
59,-3.4339044094085693
60,-2.5087296962738037
61,-2.872725009918213
62,-4.1276373863220215
63,-2.5185794830322266
64,-2.1727802753448486
65,-2.418449640274048
66,-2.02127742767334
67,-1.6982905864715576
68,-1.9582223892211914
69,-2.508401870727539
70,-1.3857440948486328
71,-1.7047312259674072
72,-2.8996307849884033
73,-1.7346103191375732
74,-2.485564947128296
75,-3.056518316268921
76,-2.401064157485962
77,-3.1551876068115234
78,-2.2979984283447266
79,-2.11002779006958
80,-1.8797342777252197
81,-1.5928434133529663
82,-1.186301827430725
83,-2.722545623779297
84,-2.6518523693084717
85,-2.458073616027832
86,-2.4360997676849365
87,-1.9461312294006348
88,-2.592564582824707
89,-3.2834901809692383
90,-2.813115119934082
91,-2.1207313537597656
92,-2.4512054920196533
93,-1.8708302974700928
94,-1.8741950988769531
95,-2.0796444416046143
96,-2.6679415702819824
97,-2.551130771636963
98,-3.2479724884033203
99,-2.622591257095337
100,-2.2422609329223633
101,-1.726745367050171
102,-2.580495834350586
103,-2.7825751304626465
104,-1.9356739521026611
105,-1.667916178703308
106,-1.815464735031128
107,-2.485485076904297
108,-3.136338949203491
109,-3.304960250854492
110,-1.7917122840881348
111,-2.636446237564087
112,-2.811655282974243
113,-2.4431402683258057
114,-1.80604887008667
115,-3.051018476486206
116,-3.1664090156555176
117,-3.836353302001953
118,-2.1354267597198486
119,-3.1422781944274902
120,-2.6400952339172363
121,-2.0976388454437256
122,-2.5085651874542236
123,-2.2148025035858154
124,-3.0604498386383057
125,-2.687744617462158
126,-3.5185444355010986
127,-2.417330265045166
128,-2.6677308082580566
129,-3.3941378593444824
130,-2.7888498306274414
131,-2.3003978729248047
132,-2.386319160461426
133,-1.660229206085205
134,-2.7471017837524414
135,-2.7540123462677
136,-2.010465145111084
137,-1.9235618114471436
138,-2.220400333404541
139,-2.688387393951416
140,-2.6764068603515625
141,-3.082285165786743
142,-1.846648097038269
143,-2.8462746143341064
144,-2.659262180328369
145,-2.3777964115142822
146,-2.3616843223571777
147,-1.956676721572876
148,-2.771005868911743
149,-2.3413922786712646
150,-2.3670804500579834
151,-3.509674549102783
152,-2.5921437740325928
153,-3.4343442916870117
154,-2.150005578994751
155,-2.9547078609466553
156,-2.950080156326294
157,-3.566295623779297
158,-2.7929513454437256
159,-2.2461068630218506
160,-2.243927478790283
161,-1.7499982118606567
162,-3.239652395248413
163,-2.684872627258301
164,-3.535922050476074
165,-3.0334901809692383
166,-2.971834897994995
167,-1.7184832096099854
168,-3.284125804901123
169,-1.9638254642486572
170,-2.1794562339782715
171,-2.437922477722168
172,-2.054603338241577
173,-1.885296106338501
174,-2.389822483062744
175,-2.879534959793091
176,-3.057917594909668
177,-2.9460337162017822
178,-3.1355197429656982
179,-1.9795348644256592
180,-2.2544310092926025
181,-2.1473441123962402
182,-2.661513566970825
183,-3.15749454498291
184,-2.387561798095703
185,-2.1453001499176025
186,-3.6461305618286133
187,-1.8061470985412598
188,-2.65205717086792
189,-1.7013881206512451
190,-2.7924013137817383
191,-2.759445905685425
192,-2.5615479946136475
193,-2.677189826965332
194,-1.8798409700393677
195,-2.346712827682495
196,-2.4560821056365967
197,-2.8023154735565186
198,-2.6706044673919678
199,-2.4816508293151855
200,-3.623269557952881
201,-3.934793472290039
202,-2.2941956520080566
203,-1.99373459815979
204,-3.171597957611084
205,-2.4243290424346924
206,-2.7849981784820557
207,-2.537137269973755
208,-2.756807565689087
209,-2.782247304916382
210,-2.5799310207366943
211,-2.8628921508789062
212,-2.16611909866333
213,-1.7650182247161865
214,-2.0664618015289307
215,-1.3069610595703125
216,-2.877145290374756
217,-1.696644902229309
218,-3.414604425430298
219,-3.1300148963928223
220,-2.5383903980255127
221,-2.5761146545410156
222,-2.199828624725342
223,-2.5820608139038086
224,-2.4856200218200684
225,-2.5855064392089844
226,-2.812328815460205
227,-3.098997116088867
228,-2.395469903945923
229,-4.025852680206299
230,-2.735832691192627
231,-3.7126917839050293
232,-4.011660099029541
233,-1.8940000534057617
234,-1.0462781190872192
235,-4.956479072570801
236,-2.185223340988159
237,-1.864113688468933
238,-2.5759615898132324
239,-1.862844467163086
240,-2.668234348297119
241,-2.6393537521362305
242,-2.1228132247924805
243,-1.446458339691162
244,-1.5630255937576294
245,-2.075209379196167
246,-3.1530725955963135
247,-1.53502357006073
248,-2.6457173824310303
249,-1.8551474809646606
250,-2.948988914489746
251,-3.3728206157684326
252,-2.2791287899017334
253,-3.2880938053131104
254,-2.007157325744629
255,-2.685731887817383
256,-2.27984619140625
257,-2.635043144226074
258,-2.870666742324829
259,-2.2717397212982178
260,-3.883101224899292
261,-2.2845587730407715
262,-2.418125629425049
263,-2.456165075302124
264,-2.331592082977295
265,-2.491806983947754
266,-1.4871264696121216
267,-3.2402184009552
268,-2.6771812438964844
269,-2.4196064472198486
270,-2.514084815979004
271,-2.15844988822937
272,-2.954984664916992
273,-2.940239667892456
274,-1.6354237794876099
275,-2.515974283218384
276,-2.6782727241516113
277,-2.5439810752868652
278,-2.450279474258423
279,-3.0243635177612305
280,-2.1474239826202393
281,-1.7036986351013184
282,-2.1659743785858154
283,-2.7198407649993896
284,-2.9146907329559326
285,-4.106410980224609
286,-2.197295665740967
287,-4.302057266235352
288,-2.6815407276153564
289,-2.8824234008789062
290,-1.7913844585418701
291,-2.77117919921875
292,-1.9241383075714111
293,-2.749481678009033
294,-2.292029619216919
295,-1.727846384048462
296,-2.824317693710327
297,-1.7374217510223389
298,-3.00860857963562
299,-1.363008737564087
300,-2.9013314247131348
301,-2.1795833110809326
302,-2.2172963619232178
303,-2.3323729038238525
304,-2.2626521587371826
305,-2.952497720718384
306,-3.918937921524048
307,-2.2442712783813477
308,-2.1181657314300537
309,-2.480999708175659
310,-2.6447973251342773
311,-1.8829572200775146
312,-3.6518023014068604
313,-1.873510718345642
314,-1.8119863271713257
315,-2.061750888824463
316,-2.360506534576416
317,-1.414632797241211
318,-2.7214365005493164
319,-4.107792854309082
320,-3.0495846271514893
321,-2.129214286804199
322,-2.626831293106079
323,-1.4691303968429565
324,-2.019073963165283
325,-2.820819139480591
326,-3.1002423763275146
327,-1.9319229125976562
328,-2.4293136596679688
329,-4.123432159423828
330,-2.032961130142212
331,-0.2467736303806305
332,-3.1070151329040527
333,-2.816498279571533
334,-3.1925129890441895
335,-2.0276167392730713
336,-1.7472418546676636
337,-2.374776601791382
338,-2.1703667640686035
339,-3.0014843940734863
340,-1.7528676986694336
341,-1.817216157913208
342,-2.2517495155334473
343,-1.9590635299682617
344,-3.045366048812866
345,-2.946126937866211
346,-2.5559911727905273
347,-2.5218334197998047
348,-2.2105295658111572
349,-3.8833389282226562
350,-2.1492629051208496
351,-2.3616926670074463
352,-1.8926440477371216
353,-2.829233169555664
354,-1.5032947063446045
355,-3.5587894916534424
356,-2.246763229370117
357,-1.9806805849075317
358,-3.353637456893921
359,-2.6869115829467773
360,-3.2067761421203613
361,-2.2848401069641113
362,-1.4997963905334473
363,-3.043623208999634
364,-1.0040603876113892
365,-2.55707049369812
366,-2.9716527462005615
367,-3.3029754161834717
368,-2.6375508308410645
369,-2.401466131210327
370,-2.475209951400757
371,-2.9657881259918213
372,-1.9764556884765625
373,-0.9367026686668396
374,-1.5362548828125
375,-1.444337010383606
376,-1.9921271800994873
377,-2.304849147796631
378,-2.9571657180786133
379,-2.877865791320801
380,-3.246979236602783
381,-2.4050533771514893
382,-2.89754319190979
383,-2.0154590606689453
384,-2.826921224594116
385,-2.2667195796966553
386,-2.4185454845428467
387,-1.651656985282898
388,-2.873478651046753
389,-2.0366406440734863
390,-1.916324496269226
391,-1.8447751998901367
392,-0.6212900280952454
393,-2.932709217071533
394,-2.871645212173462
395,-2.6145262718200684
396,-1.680984377861023
397,-2.0001914501190186
398,-3.5392215251922607
399,-1.9613841772079468
400,-2.4147841930389404
401,-1.83547842502594
402,-1.5902107954025269
403,-2.825080633163452
404,-3.024796724319458
405,-4.171420097351074
406,-2.4458770751953125
407,-2.727062463760376
408,-2.6841542720794678
409,-3.958301305770874
410,-2.4026713371276855
411,-2.3251776695251465
412,-3.036306142807007
413,-2.646456718444824
414,-3.169922113418579
415,-3.003870964050293
416,-2.605664014816284
417,-1.8978208303451538
418,-3.03452205657959
419,-2.2627649307250977
420,-3.7311618328094482
421,-2.20939302444458
422,-2.062180995941162
423,-2.2738325595855713
424,-2.531416654586792
425,-3.163905382156372
426,-3.325160264968872
427,-3.2230491638183594
428,-1.9280880689620972
429,-2.236593246459961
430,-1.8409804105758667
431,-3.059605598449707
432,-2.908689260482788
433,-3.551567554473877
434,-1.6817058324813843
435,-3.8244667053222656
436,-2.3261852264404297
437,-1.780195713043213
438,-1.0356152057647705
439,-3.1551291942596436
440,-2.3906688690185547
441,-1.865097999572754
442,-2.7781221866607666
443,-2.6941802501678467
444,-2.9608585834503174
445,-1.587460994720459
446,-2.8782060146331787
447,-3.6274728775024414
448,-2.4164915084838867
449,-2.7204670906066895
450,-2.718698263168335
451,-2.8823797702789307
452,-2.4981117248535156
453,-3.627819061279297
454,-1.6525695323944092
455,-4.152617931365967
456,-1.674112319946289
457,-2.0796756744384766
458,-2.240363597869873
459,-0.44998985528945923
460,-1.8150361776351929
461,-1.492621898651123
462,-1.9706521034240723
463,-2.7329952716827393
464,-3.3036961555480957
465,-3.187382221221924
466,-2.1889424324035645
467,-2.3223772048950195
468,-2.8226301670074463
469,-3.384935140609741
470,-3.058513879776001
471,-2.4719696044921875
472,-2.748894214630127
473,-2.887394428253174
474,-3.199021816253662
475,-2.5909929275512695
476,-2.15579891204834
477,-3.9938714504241943
478,-1.5687956809997559
479,-2.339630603790283
480,-2.9477665424346924
481,-3.378840446472168
482,-2.8858203887939453
483,-2.4528274536132812
484,-2.3693766593933105
485,-2.138883113861084
486,-1.766895055770874
487,-2.1777122020721436
488,-2.5446298122406006
489,-2.036179304122925
490,-1.8534021377563477
491,-1.320623517036438
492,-2.890531539916992
493,-1.302761197090149
494,-2.478147268295288
495,-2.2327184677124023
496,-2.0349156856536865
497,-3.6292481422424316
498,-2.8677892684936523
499,-1.9672174453735352
500,-1.7996227741241455
501,-1.6032764911651611
502,-2.131146192550659
503,-2.1616058349609375
504,-2.7772557735443115
505,-2.7073192596435547
506,-3.38358211517334
507,-2.584940195083618
508,-2.066093921661377
509,-2.9882450103759766
510,-2.486952543258667
511,-1.723244071006775
512,-1.8966213464736938
513,-2.2731220722198486
514,-2.4811387062072754
515,-2.8028101921081543
516,-2.387298822402954
517,-1.8766038417816162
518,-2.1155004501342773
519,-2.8016855716705322
520,-4.0785722732543945
521,-3.1295456886291504
522,-2.4889183044433594
523,-3.0107643604278564
524,-2.1173903942108154
525,-2.7846755981445312
526,-3.8561487197875977
527,-1.5382643938064575
528,-1.7600955963134766
529,-2.707068920135498
530,-2.0648305416107178
531,-2.931090831756592
532,-1.9827927350997925
533,-3.1838111877441406
534,-2.6889145374298096
535,-3.0338501930236816
536,-2.144940137863159
537,-3.0828335285186768
538,-3.424213171005249
539,-2.9346425533294678
540,-2.957944631576538
541,-2.565403461456299
542,-3.2865915298461914
543,-1.438331127166748
544,-2.8794591426849365
545,-3.8143272399902344
546,-1.9190900325775146
547,-3.1980950832366943
548,-1.8512537479400635
549,-1.73345947265625
550,-2.5292277336120605
551,-1.8771114349365234
552,-0.692635715007782
553,-3.148299217224121
554,-3.208444595336914
555,-2.765981912612915
556,-2.783151865005493
557,-2.0261056423187256
558,-2.5459518432617188
559,-2.3321783542633057
560,-2.613584518432617
561,-1.489425778388977
562,-2.264913320541382
563,-1.605039119720459
564,-1.5372141599655151
565,-1.8682162761688232
566,-1.2798465490341187
567,-1.8092092275619507
568,-2.3307178020477295
569,-3.5232319831848145
570,-2.510125160217285
571,-2.1916635036468506
572,-2.1582658290863037
573,-1.807542324066162
574,-1.4615356922149658
575,-3.89249849319458
576,-2.764603853225708
577,-2.7234764099121094
578,-1.5107086896896362
579,-2.3928890228271484
580,-2.3867385387420654
581,-1.883276104927063
582,-1.5498006343841553
583,-1.775014877319336
584,-2.6359951496124268
585,-2.8504104614257812
586,-2.9452192783355713
587,-2.623614549636841
588,-2.976626396179199
589,-2.4255340099334717
590,-2.9856419563293457
591,-2.2652697563171387
592,-2.9323806762695312
593,-3.0526578426361084
594,-2.600076913833618
595,-3.1991710662841797
596,-2.4765725135803223
597,-2.4733378887176514
598,-1.9638231992721558
599,-2.307451009750366
600,-2.3900349140167236
601,-2.8758280277252197
602,-2.0120625495910645
603,-2.340712785720825
604,-2.9507522583007812
605,-2.4207677841186523
606,-2.63834547996521
607,-2.8131887912750244
608,-2.128694534301758
609,-3.7347300052642822
610,-3.4775991439819336
611,-1.8917286396026611
612,-2.918602228164673
613,-1.6247148513793945
614,-3.114384174346924
615,-3.499174118041992
616,-1.0940176248550415
617,-2.0293426513671875
618,-3.1581830978393555
619,-3.0702202320098877
620,-1.8567997217178345
621,-2.653313398361206
622,-1.9989014863967896
623,-2.169647455215454
624,-2.3722622394561768
625,-1.0016685724258423
626,-2.2666168212890625
627,-1.624843955039978
628,-3.178678274154663
629,-3.119107484817505
630,-2.0949134826660156
631,-3.0022013187408447
632,-1.7570874691009521
633,-2.030071258544922
634,-3.177302122116089
635,-2.5588576793670654
636,-2.2398183345794678
637,-2.415987730026245
638,-2.3597593307495117
639,-2.468526601791382
640,-3.5902578830718994
641,-2.5596837997436523
642,-2.4706172943115234
643,-2.3350155353546143
644,-2.616520881652832
645,-1.3763518333435059
646,-2.6732027530670166
647,-2.341736316680908
648,-2.1526663303375244
649,-2.7212460041046143
650,-2.3726489543914795
651,-1.809680700302124
652,-2.0604116916656494
653,-2.163710355758667
654,-2.2811126708984375
655,-3.313591241836548
656,-3.1321187019348145
657,-1.8614599704742432
658,-2.684870481491089
659,-2.9121782779693604
660,-3.1831021308898926
661,-2.539645195007324
662,-3.1042227745056152
663,-1.2376348972320557
664,-2.7317774295806885
665,-2.2342705726623535
666,-2.448725700378418
667,-2.9535341262817383
668,-2.9871344566345215
669,-1.8764396905899048
670,-2.911273717880249
671,-1.4705781936645508
672,-2.358487606048584
673,-2.3911375999450684
674,-2.3621180057525635
675,-2.425995349884033
676,-2.4433510303497314
677,-2.0488481521606445
678,-3.108032464981079
679,-3.17545747756958
680,-1.3092225790023804
681,-1.9613310098648071
682,-2.071472644805908
683,-2.3639652729034424
684,-3.467646360397339
685,-2.586698055267334
686,-2.012815237045288
687,-2.114048957824707
688,-3.2370645999908447
689,-3.6637754440307617
690,-1.9092156887054443
691,-3.300715684890747
692,-3.595425844192505
693,-2.4217159748077393
694,-3.5375070571899414
695,-2.761080026626587
696,-2.211087703704834
697,-2.016874313354492
698,-2.5932137966156006
699,-1.4096208810806274
700,-3.2416749000549316
701,-1.8902150392532349
702,-3.461796760559082
703,-4.171419620513916
704,-3.3293728828430176
705,-2.069685935974121
706,-3.1508474349975586
707,-3.247009754180908
708,-2.6283767223358154
709,-2.0295257568359375
710,-2.3496313095092773
711,-3.3249263763427734
712,-2.566422700881958
713,-2.3245906829833984
714,-3.419233798980713
715,-2.461036443710327
716,-3.019275665283203
717,-2.7504191398620605
718,-2.9562861919403076
719,-2.1875803470611572
720,-3.460174322128296
721,-2.115644931793213
722,-2.394996166229248
723,-3.5115363597869873
724,-3.5835957527160645
725,-3.00075626373291
726,-1.9414814710617065
727,-2.752711534500122
728,-2.705326795578003
729,-2.2988853454589844
730,-2.9610462188720703
731,-2.6057486534118652
732,-4.394460201263428
733,-3.4341917037963867
734,-3.0578346252441406
735,-2.647636890411377
736,-2.5704197883605957
737,-3.2075510025024414
738,-2.3767197132110596
739,-2.894935131072998
740,-2.5174593925476074
741,-2.0101358890533447
742,-2.235203504562378
743,-2.047837972640991
744,-1.761652946472168
745,-2.9655914306640625
746,-2.218893527984619
747,-2.3519954681396484
748,-2.2266130447387695
