specification,value
model_name,F2S_WARM_START_200_1_Nature_Corrected
loss_alpha,0.03
loss_delta,0.0001
num_params,5329081
time_per_epoch,0.9173313760280609
rmse_final,1.430922508239746
auroc_final_R,0.8987102158540914
auprc_final_R,0.19470838193700069
PCA_dim,256
retained_var,0.9776838
global_bias,0.1401802
thresholds,"[0.37674665567927046, 1.4375922467168958, 2.498643829597891, 3.3996576042469497, 4.231346195936221]"
confusion_matrix,"[[0.61554369 0.2218393  0.08329486 0.04282926 0.02637007 0.01012281]
 [0.20535714 0.50892857 0.19642857 0.08035714 0.         0.00892857]
 [0.06806283 0.30104712 0.43193717 0.17277487 0.02617801 0.        ]
 [0.04771372 0.12624254 0.30119284 0.35586481 0.15407555 0.01491054]
 [0.04287305 0.08463252 0.14922049 0.24832962 0.35579065 0.11915367]
 [0.02941176 0.04411765 0.07352941 0.12254902 0.28921569 0.44117647]]"
