specification,value
model_name,F2S_WARM_START_200_4_Nature
loss_alpha,0.03
loss_delta,0.0001
num_params,10816531
time_per_epoch,1.1865307084560395
rmse_final,0.5010348558425903
auroc_final_R,
auprc_final_R,
mol_corr,0.4714311070462983
se_corr,0.921244735725033
PCA_dim,256
retained_var,0.9776838
global_bias,0.1401802
thresholds,"[0.4592218865097321, 1.5148459019933538, 2.5506456039479763, 3.4451060253135783, 4.296165347737676]"
confusion_matrix,"[[6.29076325e-01 2.13603635e-01 7.87659861e-02 4.05911431e-02
  2.77010591e-02 1.02618513e-02]
 [7.14285714e-02 7.67857143e-01 1.42857143e-01 1.78571429e-02
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 1.62303665e-01 7.19895288e-01 1.12565445e-01
  5.23560209e-03 0.00000000e+00]
 [0.00000000e+00 6.95825050e-03 1.72962227e-01 6.92842942e-01
  1.25248509e-01 1.98807157e-03]
 [0.00000000e+00 5.56792873e-04 9.46547884e-03 1.85968820e-01
  6.48663697e-01 1.55345212e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 7.35294118e-03
  1.22549020e-01 8.70098039e-01]]"
