specification,value
model_name,F2S_WARM_START_200_2_Nature
loss_alpha,0.03
loss_delta,0.0001
num_params,7038231
time_per_epoch,1.1015059045791626
rmse_final,0.5841905474662781
auroc_final_R,
auprc_final_R,
mol_corr,0.455210436553794
se_corr,0.8731459241919032
PCA_dim,256
retained_var,0.9776838
global_bias,0.1401802
thresholds,"[0.41281443861952005, 1.4952815228262863, 2.586253625853786, 3.4577627986876114, 4.3136888162870335]"
confusion_matrix,"[[0.59864174 0.22641273 0.09070035 0.04436813 0.02954231 0.01033475]
 [0.09821429 0.73214286 0.13392857 0.03571429 0.         0.        ]
 [0.         0.13874346 0.67801047 0.16492147 0.01832461 0.        ]
 [0.         0.01491054 0.2445328  0.60437376 0.13419483 0.00198807]
 [0.         0.00278396 0.02616927 0.21492205 0.61191537 0.14420935]
 [0.         0.         0.         0.01470588 0.16176471 0.82352941]]"
