idx,bias
0,-1.978588581085205
1,-1.7508375644683838
2,-1.5524673461914062
3,-2.1757898330688477
4,-2.259711980819702
5,-3.568011522293091
6,-2.784735918045044
7,-2.4762990474700928
8,-2.7344346046447754
9,-3.625699520111084
10,-1.9265413284301758
11,-3.15020751953125
12,-2.7744431495666504
13,-3.135800361633301
14,-2.6503982543945312
15,-3.17641282081604
16,-1.7867141962051392
17,-1.7065651416778564
18,-1.2273564338684082
19,-2.4475483894348145
20,-2.6000070571899414
21,-1.9644838571548462
22,-1.9561395645141602
23,-2.377945899963379
24,-2.0037477016448975
25,-2.8050622940063477
26,-2.5663464069366455
27,-2.2469401359558105
28,-2.932682991027832
29,-2.240755081176758
30,-2.437333345413208
31,-3.6617889404296875
32,-2.168896436691284
33,-1.9341286420822144
34,-2.143373966217041
35,-3.177018404006958
36,-1.7462184429168701
37,-2.493461847305298
38,-2.5506014823913574
39,-3.6710550785064697
40,-1.9249088764190674
41,-1.9585766792297363
42,-3.5604991912841797
43,-3.2349047660827637
44,-2.3484697341918945
45,-3.153582811355591
46,-2.6348047256469727
47,-2.983494758605957
48,-1.2381114959716797
49,-1.9959914684295654
50,-1.261380672454834
51,-1.8967278003692627
52,-2.0754384994506836
53,-1.488539218902588
54,-2.2852792739868164
55,-1.9856369495391846
56,-1.7649825811386108
57,-2.74959659576416
58,-2.065455436706543
59,-3.0871987342834473
60,-3.1014835834503174
61,-3.343528985977173
62,-3.5471434593200684
63,-2.671308755874634
64,-2.0332038402557373
65,-2.8470189571380615
66,-2.6364328861236572
67,-1.4847677946090698
68,-2.280052661895752
69,-2.757538318634033
70,-1.4450621604919434
71,-2.204726457595825
72,-2.9543817043304443
73,-2.406604528427124
74,-2.2707860469818115
75,-2.3347971439361572
76,-2.6285481452941895
77,-2.9123659133911133
78,-2.1632604598999023
79,-1.9216129779815674
80,-2.14164137840271
81,-1.829616665840149
82,-1.1963951587677002
83,-3.4640557765960693
84,-2.6047377586364746
85,-2.071988105773926
86,-2.1750783920288086
87,-1.9732346534729004
88,-2.8591763973236084
89,-3.362421989440918
90,-3.733212947845459
91,-2.6183900833129883
92,-1.5650978088378906
93,-2.328974485397339
94,-2.241633415222168
95,-2.340618848800659
96,-2.856714963912964
97,-2.8788599967956543
98,-3.1287424564361572
99,-2.509136915206909
100,-1.5834914445877075
101,-1.729907751083374
102,-1.8861008882522583
103,-2.382645606994629
104,-1.6626977920532227
105,-1.8719667196273804
