specification,value
model_name,F2S_WARM_START_200_3_Nature
loss_alpha,0.03
loss_delta,0.0001
num_params,8867381
time_per_epoch,1.0630008980751038
rmse_final,0.5727401971817017
auroc_final_R,
auprc_final_R,
mol_corr,0.4600514851175914
se_corr,0.9196771693629567
PCA_dim,256
retained_var,0.9776838
global_bias,0.1401802
thresholds,"[0.34963928829013213, 1.4718325390128315, 2.540206690241872, 3.3882169014542596, 4.242885262450955]"
confusion_matrix,"[[0.61338522 0.22558659 0.08198007 0.04092052 0.02841515 0.00971245]
 [0.07142857 0.75892857 0.14285714 0.02678571 0.         0.        ]
 [0.0026178  0.13612565 0.71727749 0.13874346 0.0052356  0.        ]
 [0.         0.00894632 0.22067594 0.61630219 0.15308151 0.00099404]
 [0.         0.00167038 0.02505568 0.2188196  0.60801782 0.14643653]
 [0.         0.         0.         0.00735294 0.17401961 0.81862745]]"
