specification,value
model_name,F2S_WARM_START_200_0_Nature_Corrected
loss_alpha,0.03
loss_delta,0.0001
num_params,3739931
time_per_epoch,0.8220256834983826
rmse_final,1.3136391639709473
auroc_final_R,0.9022726524924994
auprc_final_R,0.1944827862166456
PCA_dim,256
retained_var,0.9776838
global_bias,0.1401802
thresholds,"[0.464235277978146, 1.5266375412431288, 2.5831884191856744, 3.4250799723299323, 4.211708473315699]"
confusion_matrix,"[[0.5913294  0.23229689 0.09258344 0.04519696 0.02755932 0.01103399]
 [0.27678571 0.41964286 0.22321429 0.07142857 0.00892857 0.        ]
 [0.05759162 0.26439791 0.46335079 0.19109948 0.01832461 0.0052356 ]
 [0.04274354 0.11729622 0.28926441 0.38767396 0.14214712 0.02087475]
 [0.03006682 0.08129176 0.13808463 0.26391982 0.3513363  0.13530067]
 [0.0245098  0.04411765 0.06862745 0.11029412 0.28431373 0.46813725]]"
