idx,bias
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.12785356
7,0.05580263
8,0.22371304
9,0.342039
10,0.16904967
11,0.0
12,0.019404173
13,0.085108235
14,0.0
15,0.27718586
16,0.019505829
17,0.0
18,0.1193773
19,0.62641907
20,0.04740244
21,0.055633366
22,1.3906021
23,0.10848975
24,1.0486419
25,0.14761388
26,0.05767533
27,0.055760473
28,0.0
29,0.12689422
30,0.0
31,0.092638224
32,0.0
33,0.0
34,0.2753322
35,0.17976506
36,0.37390423
37,0.066173896
38,0.11108944
39,0.22404349
40,0.12954685
41,0.2105886
42,0.5345968
43,0.27616116
44,0.17459333
45,0.0
46,0.2054604
47,0.0
48,0.15748882
49,0.015280932
50,0.2882408
51,0.2796989
52,0.0
53,0.0
54,0.08686562
55,0.2133019
56,0.2661335
57,0.0
58,0.0
59,0.0
60,0.48511022
61,0.057630002
62,0.16216816
63,0.14649408
64,0.19636811
65,0.06557745
66,0.32959262
67,0.37554517
68,0.10296115
69,0.23152952
70,0.955369
71,0.0
72,0.09843545
73,0.16586477
74,0.3266851
75,0.043976545
76,0.14596708
77,0.1591634
78,0.4481483
79,0.23589602
80,0.99983907
81,0.0068428814
82,0.5041578
83,0.030334398
84,0.28535506
85,1.3924704
86,0.17591448
87,0.50835323
88,0.1198699
89,0.050396964
90,0.113445625
91,0.12372129
92,0.016658187
93,0.06974855
94,0.22031705
95,0.83359563
96,0.21961991
97,0.25251746
98,0.45586944
99,0.07024814
100,0.0
101,0.14031136
102,0.0
103,0.19083036
104,0.059998393
105,0.0
106,0.15431367
107,0.14429185
108,0.0
109,0.13811268
110,0.40989283
111,0.16040702
112,0.29085523
113,0.19359225
114,0.046053976
115,0.38491148
116,0.7594183
117,0.32051843
118,0.21930853
119,0.34160727
120,0.11355202
121,0.25900215
122,0.22626148
123,0.045621917
124,0.17319913
125,0.2757117
126,0.0
127,0.049732
128,0.0
129,0.2365745
130,0.0
131,0.25513795
132,0.049608767
133,0.018492341
134,0.0
135,0.1661318
136,0.4473496
137,1.4842054
138,0.018514961
139,0.0
140,0.21627565
141,0.16022159
142,0.10818064
143,1.0295064
144,0.08831583
145,0.21841937
146,0.098961174
147,0.00057026744
148,0.08361071
149,0.20762125
150,0.07799442
151,0.14342703
152,0.0
153,0.04295844
154,0.027462691
155,0.03628996
156,0.061886266
157,0.35957286
158,0.18532561
159,0.29590312
160,0.6215575
161,0.6470044
162,0.119584695
163,0.1482111
164,0.16413677
165,0.028635457
166,0.2807493
167,0.07899484
168,0.0
169,0.041851044
170,0.470232
171,0.104919925
172,0.01858452
173,0.18942598
174,0.0962051
175,0.42785943
176,0.09632191
177,0.2999763
178,0.11550349
179,0.0
180,0.0
181,0.2735875
182,0.0
183,0.048510566
184,0.11905861
185,0.0
186,0.0
187,0.09736234
188,0.5245606
189,0.0
190,0.19374138
191,0.08506554
192,0.17638695
193,0.18905568
194,0.106960684
195,0.2822531
196,0.08126174
197,0.037220806
198,0.0
199,0.25130117
200,0.15505943
201,0.08548164
202,0.5254983
203,1.028391
204,0.6039126
205,0.2314271
206,0.26122764
207,0.39568475
208,0.0090358555
209,1.5299836
210,0.21434382
211,0.08806349
212,0.16813678
213,0.07680324
214,0.13223721
215,0.04320632
216,0.4577753
217,0.114506185
218,0.2947315
219,0.1371854
220,0.30671838
221,0.06068343
222,0.0
223,0.04631135
224,0.02061972
225,0.074596345
226,0.220212
227,0.0
228,1.0593477
229,0.12029883
230,0.311994
231,0.0
232,0.2335653
233,0.08434841
234,0.0
235,0.3843406
236,0.0
237,0.2781713
238,0.0
239,0.13190094
240,0.0
241,0.17247519
242,0.0
243,0.04051034
244,0.21007349
245,0.0
246,0.24242453
247,0.12095554
248,0.31605175
249,0.14905731
250,0.18394417
251,0.0
252,0.26978123
253,0.3350059
254,0.15315749
255,0.06798451
256,0.0
257,0.0
258,1.0050739
259,0.06626037
260,0.06485975
261,0.00969407
262,0.0
263,0.08298567
264,0.050092995
265,0.27766916
266,0.04740569
267,0.19019163
268,0.0014310777
269,0.12152758
270,0.52125204
271,0.0
272,0.10006851
273,0.47120064
274,1.5952172
275,0.116146475
276,0.031116515
277,0.019480258
278,0.11955726
279,0.0
280,0.058938354
281,0.33203208
282,0.07410368
283,0.21498458
284,0.6939624
285,0.08540031
286,0.0
287,0.019883573
288,0.0
289,0.55733085
290,0.9733772
291,0.15770248
292,0.027728856
293,0.18334645
294,0.10209426
295,0.46442145
296,0.033583835
297,0.016324967
298,0.07365902
299,0.9064754
300,1.0017704
301,0.023747176
302,0.03661537
303,0.896067
304,0.14074019
305,0.10522388
306,0.0
307,0.041278437
308,0.0
309,0.061404347
310,0.0
311,0.09639014
312,0.0
313,0.023175895
314,0.0
315,0.22971842
316,0.09366052
317,0.0
318,0.36219156
319,0.14449471
320,1.0432903
321,0.1426567
322,0.45206726
323,0.6376177
324,0.108651936
325,0.25293982
326,0.0
327,0.086639196
328,0.09437738
329,0.22011054
330,1.075608
331,0.16196021
332,0.37440285
333,0.003475517
334,0.5673727
335,0.10750687
336,0.0
337,0.27546942
338,0.17720333
339,0.9631556
340,0.29492223
341,0.19625533
342,0.21686697
343,0.0
344,0.21368966
345,0.1451659
346,0.07331537
347,0.31311095
348,0.0
349,0.07943672
350,0.8853704
351,0.17454362
352,0.061220735
353,0.12779422
354,0.0
355,0.23193246
356,0.008162677
357,0.0
358,0.009200156
359,0.01522696
360,0.5486474
361,1.3382206
362,0.15490969
363,0.05877894
364,0.0
365,1.1105611
366,0.0
367,0.0385305
368,0.15901801
369,0.16791005
370,0.10118401
371,0.7539625
372,0.09051436
373,0.1601311
374,0.31753957
375,0.19092439
376,0.0
377,0.27141783
378,0.40521044
379,0.18436062
380,0.0
381,0.60418636
382,0.10386567
383,0.0
384,0.15793398
385,0.19109488
386,0.040346265
387,0.4368654
388,0.10397248
389,0.1666458
390,0.096644744
391,0.15188268
392,0.028995037
393,0.0
394,0.2506963
395,0.38797852
396,0.069902584
397,0.0
398,0.0
399,0.20268635
400,0.05867055
401,0.24455403
402,0.099914655
403,0.14394553
404,0.062339187
405,0.0
406,0.022780865
407,0.0
408,0.121206105
409,0.0
410,0.114746004
411,0.22810224
412,0.07744084
413,0.0
414,0.38882065
415,0.27244806
416,0.035708323
417,0.052498177
418,0.18099876
419,0.21732123
420,0.52014667
421,0.0071851015
422,0.12340847
423,0.07806006
424,0.2247193
425,0.039711386
426,0.28450602
427,0.0
428,0.0
429,0.16614479
430,0.026476234
431,0.0
432,0.0
433,0.37692484
434,0.06955926
435,0.16504477
436,0.08647995
437,0.0
438,0.26389468
439,0.123256266
440,0.012968242
441,0.19105044
442,0.05454041
443,0.21535358
444,0.28367552
445,0.0
446,0.07741411
447,0.027816236
448,0.022328168
449,0.40631795
450,0.20545019
