idx,bias
0,-2.3327150344848633
1,-2.376147747039795
2,-2.360231399536133
3,-2.2520101070404053
4,-3.2418503761291504
5,-2.974886417388916
6,-2.280979871749878
7,-3.0569591522216797
8,-3.8098948001861572
9,-3.8955793380737305
10,-1.902688980102539
11,-2.7341654300689697
12,-3.066436290740967
13,-3.8432438373565674
14,-3.121854305267334
15,-3.5071475505828857
16,-2.1774370670318604
17,-2.080387830734253
18,-1.2903335094451904
19,-3.4928698539733887
20,-3.0983917713165283
21,-2.1310195922851562
22,-2.744546890258789
23,-3.889408826828003
24,-1.5267460346221924
25,-3.3590824604034424
26,-2.580726146697998
27,-1.7613463401794434
28,-2.85394287109375
29,-1.9149227142333984
30,-2.6360888481140137
31,-3.611872911453247
32,-2.3921921253204346
33,-2.4410481452941895
34,-2.1641151905059814
35,-3.1702613830566406
36,-1.5823578834533691
37,-3.0013132095336914
38,-3.1331114768981934
39,-4.3869524002075195
40,-1.652390718460083
41,-2.6553354263305664
42,-2.987429618835449
43,-3.0581836700439453
44,-2.194226026535034
45,-3.256425380706787
46,-2.9287502765655518
47,-2.9807770252227783
48,-1.4227800369262695
49,-2.577147960662842
50,-1.6322237253189087
51,-2.5231740474700928
52,-2.0885958671569824
53,-1.554435133934021
54,-2.863064765930176
55,-1.858984112739563
56,-2.1352717876434326
57,-2.0066657066345215
58,-2.4926726818084717
59,-3.9479451179504395
60,-3.256517171859741
61,-2.9119248390197754
62,-4.465973854064941
63,-3.1632516384124756
64,-2.872572898864746
65,-3.409658908843994
66,-2.4877877235412598
67,-1.6360042095184326
68,-2.352384567260742
69,-2.803497314453125
70,-1.9956564903259277
71,-1.6913188695907593
72,-3.00274658203125
73,-2.1141719818115234
74,-2.7979445457458496
75,-3.120415687561035
76,-2.7689454555511475
77,-3.5076022148132324
78,-2.397056818008423
79,-2.2102880477905273
80,-1.9738223552703857
81,-1.9264204502105713
82,-1.4029722213745117
83,-2.5914013385772705
84,-3.3544328212738037
85,-2.1373581886291504
86,-2.5402891635894775
87,-2.0429747104644775
88,-2.519653081893921
89,-2.8915348052978516
90,-2.7402396202087402
91,-2.792496681213379
92,-1.9942610263824463
93,-2.9446957111358643
94,-2.168637752532959
95,-2.2723381519317627
96,-2.0938315391540527
97,-3.4249155521392822
98,-4.323598384857178
99,-2.7320282459259033
100,-2.4813742637634277
101,-1.9742112159729004
102,-2.7712957859039307
103,-2.975074291229248
104,-2.7267324924468994
105,-1.3411893844604492
106,-2.293513298034668
107,-2.990154981613159
108,-4.0429205894470215
109,-2.817909002304077
110,-2.6848816871643066
111,-2.3715198040008545
112,-2.4481282234191895
113,-2.5688846111297607
114,-2.1555957794189453
115,-3.8352818489074707
116,-3.08430814743042
117,-2.563309907913208
118,-2.717616319656372
119,-2.8459362983703613
120,-2.0485589504241943
121,-2.6015191078186035
122,-2.8355138301849365
123,-3.2648723125457764
124,-3.9303951263427734
125,-3.092250108718872
126,-3.047856330871582
127,-2.5232996940612793
128,-3.9507369995117188
129,-2.757503032684326
130,-2.562283515930176
131,-2.3157644271850586
132,-2.6505773067474365
133,-2.356050491333008
134,-2.3975727558135986
135,-2.413301706314087
136,-2.457888126373291
137,-2.6926519870758057
138,-2.328768253326416
139,-3.3085293769836426
140,-3.063255548477173
141,-4.456529140472412
142,-1.895017147064209
143,-3.220670223236084
144,-2.9718616008758545
145,-2.757760763168335
146,-2.460598945617676
147,-2.585402488708496
148,-2.512136936187744
149,-2.3629250526428223
150,-3.2267587184906006
151,-3.2473130226135254
152,-3.443387746810913
153,-3.9683189392089844
154,-3.300389528274536
155,-2.317653179168701
156,-3.008596181869507
157,-4.682051181793213
158,-2.9341650009155273
159,-2.083603858947754
160,-2.5910604000091553
161,-1.484060287475586
162,-2.4921889305114746
163,-3.0559229850769043
164,-2.7853145599365234
165,-3.1712169647216797
166,-3.167844772338867
167,-2.9111361503601074
168,-3.1673688888549805
169,-2.072911262512207
170,-2.0068588256835938
171,-2.4595344066619873
172,-2.024698257446289
173,-1.9859976768493652
174,-2.2025146484375
175,-3.68923282623291
176,-2.978435516357422
177,-3.747812032699585
178,-2.7858588695526123
179,-2.24215030670166
180,-2.896371364593506
181,-2.820934295654297
182,-2.4051098823547363
183,-3.2312111854553223
184,-2.9038920402526855
185,-2.0374257564544678
186,-5.215028285980225
187,-2.418149471282959
188,-3.2106313705444336
189,-2.416818141937256
190,-3.3515453338623047
191,-1.3124427795410156
192,-3.627669095993042
193,-2.13435435295105
194,-2.8577756881713867
195,-2.3831419944763184
196,-2.6943578720092773
197,-3.2616751194000244
198,-2.9061224460601807
199,-2.426427125930786
200,-4.085503101348877
201,-3.862276077270508
202,-2.3442258834838867
203,-3.4020211696624756
204,-4.049252033233643
205,-2.2345590591430664
206,-3.4800260066986084
207,-3.299344301223755
208,-2.286703109741211
209,-2.5712780952453613
210,-2.3141355514526367
211,-3.351259469985962
212,-2.6038148403167725
213,-1.3860456943511963
214,-1.5727248191833496
215,-1.8230160474777222
216,-3.3544020652770996
217,-2.6207809448242188
218,-4.517880916595459
219,-2.22659969329834
220,-2.1714110374450684
221,-2.0132222175598145
222,-3.3704147338867188
223,-2.5187442302703857
224,-2.958420753479004
225,-3.0675723552703857
226,-2.347463607788086
227,-3.66914701461792
228,-2.9897873401641846
229,-3.1184935569763184
230,-2.8113701343536377
231,-2.974752426147461
232,-3.372382164001465
233,-1.7823960781097412
234,-2.052175998687744
235,-3.1689224243164062
236,-3.228275775909424
237,-1.7455257177352905
238,-2.6971662044525146
239,-2.087486982345581
240,-2.425698757171631
241,-2.8758931159973145
242,-2.4226880073547363
243,-1.7634869813919067
244,-1.2841153144836426
245,-2.5397801399230957
246,-3.8643798828125
247,-1.4791259765625
248,-2.6492557525634766
249,-2.076307773590088
250,-2.59035325050354
251,-3.069823741912842
252,-2.197615385055542
253,-3.507463216781616
254,-2.8774242401123047
255,-3.7303342819213867
256,-2.152932643890381
257,-1.827925682067871
258,-3.2695858478546143
259,-1.8399982452392578
260,-5.075533866882324
261,-1.8260202407836914
262,-2.3971471786499023
263,-3.5124006271362305
264,-2.482064962387085
265,-2.9164137840270996
266,-0.7413524389266968
267,-2.964254379272461
268,-2.778620719909668
269,-2.268821954727173
270,-2.410811424255371
271,-2.269688606262207
272,-2.6821365356445312
273,-2.678527355194092
274,-2.317312717437744
275,-3.087465286254883
276,-2.6263856887817383
277,-2.949920892715454
278,-2.3510921001434326
279,-2.8812568187713623
280,-2.2897374629974365
281,-2.063058614730835
282,-3.17829966545105
283,-3.5477516651153564
284,-3.6272528171539307
285,-4.243093013763428
286,-2.4436745643615723
287,-4.352595806121826
288,-2.262269973754883
289,-3.72611141204834
290,-2.3339931964874268
291,-1.8753389120101929
292,-2.1631593704223633
293,-3.0307440757751465
294,-2.3983707427978516
295,-2.664422035217285
296,-2.591254711151123
297,-3.2291831970214844
298,-4.073459148406982
299,-1.1343611478805542
300,-2.2333881855010986
301,-1.953470230102539
302,-1.794127106666565
303,-2.9516685009002686
304,-2.082717180252075
305,-3.0222935676574707
306,-3.1196823120117188
307,-3.6697728633880615
308,-3.0248095989227295
309,-2.561455249786377
310,-2.8121109008789062
311,-2.0044541358947754
312,-3.3811092376708984
313,-1.921675205230713
