specification,value
model_name,F2S_WARM_START_200_3_Nature_Corrected
loss_alpha,0.03
loss_delta,0.0001
num_params,8867381
time_per_epoch,1.1412187455654144
rmse_final,1.5610336065292358
auroc_final_R,0.8932316091378488
auprc_final_R,0.20355754233462595
PCA_dim,256
retained_var,0.9776838
global_bias,0.1401802
thresholds,"[0.3520517072302954, 1.3978893816098816, 2.424132064079121, 3.365506808391299, 4.292635250773161]"
confusion_matrix,"[[0.65261568 0.20172732 0.07087454 0.03879444 0.02693027 0.00905775]
 [0.29464286 0.42857143 0.19642857 0.05357143 0.01785714 0.00892857]
 [0.09685864 0.27748691 0.43193717 0.16492147 0.02617801 0.0026178 ]
 [0.05964215 0.14314115 0.30218688 0.35884692 0.1222664  0.0139165 ]
 [0.05623608 0.10244989 0.15367483 0.23997773 0.34521158 0.10244989]
 [0.04166667 0.06862745 0.06127451 0.13235294 0.28921569 0.40686275]]"
